rd,prime,buffer_from,buffer_to,packet_id,injection_rd
13,0,0,1,18,12
13,0,0,-1,19,12
13,0,-1,-2,20,12
13,1,8,9,13,5
13,1,7,8,12,5
13,1,6,7,9,5
13,1,5,6,14,7
13,1,4,5,15,7
13,1,3,4,17,9
13,1,2,3,16,9
13,1,1,2,18,12
13,1,0,1,19,12
13,1,0,-1,20,12
14,0,8,9,13,5
14,0,7,8,12,5
14,0,6,7,9,5
14,0,5,6,14,7
14,0,4,5,15,7
14,0,3,4,17,9
14,0,2,3,16,9
14,0,1,2,18,12
14,0,0,1,19,12
14,0,0,-1,20,12
14,0,-1,-2,21,14
14,0,-2,-3,22,14
14,1,8,9,12,5
14,1,7,8,9,5
14,1,6,7,14,7
14,1,5,6,15,7
14,1,4,5,17,9
14,1,3,4,16,9
14,1,2,3,18,12
14,1,1,2,20,12
14,1,0,1,19,12
14,1,0,-1,21,14
14,1,-1,-2,22,14
15,0,8,9,12,5
15,0,7,8,9,5
15,0,6,7,14,7
15,0,5,6,15,7
15,0,4,5,17,9
15,0,3,4,16,9
15,0,2,3,18,12
15,0,1,2,20,12
15,0,0,1,19,12
15,0,0,-1,21,14
15,0,-1,-2,22,14
15,0,-2,-3,23,15
15,1,8,9,9,5
15,1,7,8,14,7
15,1,6,7,15,7
15,1,5,6,17,9
15,1,4,5,16,9
15,1,3,4,18,12
15,1,2,3,19,12
15,1,1,2,20,12
15,1,0,1,22,14
15,1,0,-1,21,14
15,1,-1,-2,23,15
16,0,8,9,9,5
16,0,7,8,14,7
16,0,6,7,15,7
16,0,5,6,17,9
16,0,4,5,16,9
16,0,3,4,18,12
16,0,2,3,19,12
16,0,1,2,20,12
16,0,0,1,22,14
16,0,0,-1,21,14
16,0,-1,-2,23,15
16,0,-2,-3,24,16
16,1,8,9,14,7
16,1,7,8,15,7
16,1,6,7,17,9
16,1,5,6,16,9
16,1,4,5,19,12
16,1,3,4,18,12
16,1,2,3,20,12
16,1,1,2,22,14
16,1,0,1,21,14
16,1,0,-1,23,15
16,1,-1,-2,24,16
17,0,8,9,14,7
17,0,7,8,15,7
17,0,6,7,17,9
17,0,5,6,16,9
17,0,4,5,19,12
17,0,3,4,18,12
17,0,2,3,20,12
17,0,1,2,22,14
17,0,0,1,21,14
17,0,0,-1,23,15
17,0,-1,-2,24,16
17,1,8,9,15,7
17,1,7,8,17,9
17,1,6,7,16,9
17,1,5,6,19,12
17,1,4,5,18,12
17,1,3,4,20,12
17,1,2,3,22,14
17,1,1,2,21,14
17,1,0,1,23,15
17,1,0,-1,24,16
18,0,8,9,15,7
18,0,7,8,17,9
18,0,6,7,16,9
18,0,5,6,19,12
18,0,4,5,18,12
18,0,3,4,20,12
18,0,2,3,22,14
18,0,1,2,21,14
18,0,0,1,23,15
18,0,0,-1,24,16
18,0,-1,-2,25,18
18,0,-2,-3,26,18
18,1,8,9,17,9
18,1,7,8,16,9
18,1,6,7,19,12
18,1,5,6,18,12
18,1,4,5,20,12
18,1,3,4,22,14
18,1,2,3,21,14
18,1,1,2,23,15
18,1,0,1,24,16
18,1,0,-1,25,18
18,1,-1,-2,26,18
19,0,8,9,17,9
19,0,7,8,16,9
19,0,6,7,19,12
19,0,5,6,18,12
19,0,4,5,20,12
19,0,3,4,22,14
19,0,2,3,21,14
19,0,1,2,23,15
19,0,0,1,24,16
19,0,0,-1,25,18
19,0,-1,-2,26,18
19,0,-2,-3,27,19
19,1,8,9,16,9
19,1,7,8,19,12
19,1,6,7,18,12
19,1,5,6,20,12
19,1,4,5,22,14
19,1,3,4,21,14
19,1,2,3,23,15
19,1,1,2,24,16
19,1,0,1,25,18
19,1,0,-1,26,18
19,1,-1,-2,27,19
